,val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0,0.06806405393781872,16109.3984375,0.05301157181624157,34485.16015625
1,0.0676880195667698,17753.125,0.028716273866064287,20269.97265625
2,0.06519644749818398,14859.4814453125,0.02538906388829096,18386.40625
3,0.07902991766163034,15883.65234375,0.023009805890756903,17249.92578125
4,0.07215392329771714,14612.2568359375,0.021077454806202787,17120.330078125
5,0.08461463166507814,16287.76953125,0.019676581882463663,16759.927734375
6,0.07965027684917715,15974.205078125,0.0191273630798423,16229.9912109375
7,0.08777038630139185,14980.7294921875,0.017805263558224132,14964.5380859375
8,0.06465919586249859,15601.6123046875,0.017691800480710968,15161.279296875
9,0.07450861832861007,14342.2255859375,0.016661082316012623,14103.9091796875
