,val_loss,val_mean_absolute_percentage_error,val_logcosh,loss,mean_absolute_percentage_error,logcosh
0,0.00027378572713388936,72037.015625,0.0002728925901465118,0.00022823355586901542,52584.25390625,0.00022805800836067647
1,0.00027269423638602764,39175.3828125,0.0002718165051192045,0.00022670842227628192,32443.685546875,0.00022653062478639185
2,0.00027272185885776336,41417.79296875,0.0002718403993640095,0.00022642735613920202,27150.12890625,0.000226247837417759
3,0.00027266315505364774,35390.8984375,0.0002717890602070838,0.00022652979272703836,31658.16796875,0.0002263513015350327
4,0.0002728262168268401,47265.7421875,0.00027194537688046694,0.00022659164041953693,26794.224609375,0.00022641343821305782
5,0.00027268770290420546,23991.259765625,0.00027181481709703803,0.0002260138642434819,32172.99609375,0.0002258366293972358
6,0.0002728806340501548,49588.671875,0.0002719990152399987,0.00022624281390502956,36961.625,0.00022606246056966484
7,0.0002726578563846818,28229.767578125,0.0002717834140639752,0.00022612777535860546,34791.47265625,0.00022595020709559321
8,0.0002741488441916785,78111.28125,0.0002732568245846778,0.00022634594357914809,32142.330078125,0.00022616746718995273
9,0.0002730357805329974,7543.85546875,0.0002721718337852508,0.00022612100666524626,31284.314453125,0.00022594394977204502
10,0.0002727846079958779,45230.39453125,0.00027190803666599095,0.0002259499040143243,26345.66796875,0.0002257729065604508
11,0.00027340922398747837,64589.40234375,0.00027252003201283514,0.00022617846595172312,26827.6171875,0.00022599998919758946
12,0.00027284073517586945,47917.3828125,0.0002719638287089765,0.0002259862836199261,26533.71875,0.0002258085150970146
13,0.00027342948899775,65032.19921875,0.0002725419763009995,0.00022675868639336361,35218.07421875,0.00022657991212327033
14,0.0002727839625273855,45196.578125,0.00027190320543013513,0.00022613358120784327,28817.7578125,0.00022595592599827796
15,0.0002728179806889074,46884.2421875,0.0002719385374803096,0.00022621544909686854,26006.375,0.000226038639084436
16,0.0002743801828128629,19244.9921875,0.00027352801407687366,0.00022610834814122,30497.8671875,0.00022593165340367705
17,0.0002727355773272224,20173.880859375,0.00027186880470253527,0.0002266345197817699,30407.337890625,0.00022645574063062668
18,0.0002732450429308401,60758.87109375,0.0002723592333495617,0.00022607457517594433,28488.498046875,0.0002258961321786046
19,0.00027273939430935197,42612.47265625,0.00027186042279936373,0.0002263698059146593,32553.869140625,0.00022619056107942015
