,val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0,0.06799840702103607,14977.0419921875,0.03862629980837808,26265.009765625
1,0.07126932882352247,17873.068359375,0.021818297973312507,16285.736328125
2,0.07222632195145665,14795.0263671875,0.019388136874950928,13975.2294921875
3,0.08577378660869873,12640.96484375,0.01771533241018519,12924.126953125
4,0.07141539755317594,18176.07421875,0.016923833553884663,13136.283203125
5,0.07416030182618573,20484.53125,0.01583459737680115,13696.921875
6,0.06775999710092627,19667.037109375,0.015541782284024554,13126.6552734375
7,0.0646318898798753,17428.8984375,0.014999111702254438,12569.607421875
8,0.06307554554956447,19542.033203125,0.015008164253382939,12041.19921875
9,0.07047457931021105,19804.92578125,0.014526725697383676,11649.826171875
10,0.06604274069885012,20879.41796875,0.014297733463400443,11827.9658203125
11,0.0675989059704525,25465.94921875,0.014605813150081621,12593.6728515625
12,0.06509843636400761,18767.458984375,0.01395527526827824,11158.0263671875
13,0.05916635243109392,22036.515625,0.01402503473078664,11945.23046875
14,0.06217486521438494,20207.412109375,0.013751103001581154,11127.9521484375
15,0.07399672512534029,22193.376953125,0.013612099936386136,11452.865234375
16,0.0715033949117152,17242.515625,0.013628378483530717,11558.9736328125
17,0.06940202605569741,20383.888671875,0.013659102751695483,9983.9658203125
18,0.07023549064779144,18616.841796875,0.01332449475214228,10027.6044921875
19,0.061569335138591634,21538.80859375,0.013490296020540247,10039.298828125
20,0.05665196738686273,22926.537109375,0.013269353715569194,10482.923828125
21,0.0639445502459144,21426.443359375,0.013069178363015214,11157.3935546875
22,0.058565703367637285,18944.853515625,0.013118594272472655,10892.623046875
23,0.06268726301124529,20819.138671875,0.013268670763763167,10145.0927734375
24,0.06307686552276529,23009.109375,0.012989225157995422,9731.7255859375
25,0.06736632893425587,21816.232421875,0.012957901429328076,8990.7646484375
26,0.05540522608186738,21922.70703125,0.012978846268736343,9863.91796875
27,0.05473448862174059,20723.193359375,0.012949574639520152,9651.4443359375
28,0.060940202747710503,26926.490234375,0.012958091000873261,9073.03515625
29,0.06440771038061603,21185.640625,0.012749468013616575,9454.7890625
