,val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0,0.08775432391138027,23282.47265625,0.06794322080128808,57273.77734375
1,0.09094132597472372,18095.57421875,0.04584604780108566,38378.4296875
2,0.07928256730335265,18344.0078125,0.04334260528809451,37229.6953125
3,0.08255574991345474,17832.736328125,0.042345350265631486,27513.40234375
4,0.08356724609356986,15108.712890625,0.041116931833865535,49927.5859375
5,0.07741335257504009,14148.70703125,0.040675438360568,41776.484375
6,0.07387709156079639,13090.4833984375,0.039921849758315815,41100.65625
7,0.07743182901951949,16073.3291015625,0.039737282328367526,36848.22265625
8,0.0747685953335006,12487.5068359375,0.0392742026912023,49080.57421875
9,0.0692384974345454,15596.3330078125,0.039013017148877754,42200.5859375
10,0.07638330604170962,16215.40234375,0.03895275441723954,29234.41796875
11,0.07267079863912662,12287.3525390625,0.03881055700095856,35610.0546875
12,0.0713803836693065,15708.7197265625,0.03821389337049443,37960.90625
13,0.07397786950341756,11996.435546875,0.03814026234538891,23419.115234375
14,0.07297916312813418,15477.4736328125,0.038233778915914965,34833.203125
15,0.0733838509433462,14725.576171875,0.03818447243998032,23872.978515625
16,0.07339305595697918,14340.2392578125,0.03808775987389717,44993.80078125
17,0.0696602757045659,15703.5703125,0.03827818662896921,25846.724609375
18,0.07319644301208551,13827.59765625,0.03821610746081476,39778.203125
19,0.0670446532517757,17205.380859375,0.037907212121751487,23452.193359375
20,0.07136822839037786,14748.0615234375,0.03766144861414077,50435.12890625
21,0.07596843820950203,15818.5400390625,0.037947088344899634,40805.109375
22,0.07464173608888676,15539.392578125,0.037965999054773186,35033.6171875
23,0.06774446249912314,13890.060546875,0.03817132238107207,53662.3359375
24,0.08403549303599747,15912.28125,0.03959405070063285,38540.2421875
25,0.07834728392417867,13831.9404296875,0.03831291482456948,37302.28515625
26,0.07479668132956531,13360.8720703125,0.037832762813432695,25044.728515625
27,0.07437006780247588,10154.7998046875,0.037368259101967664,23984.1640625
28,0.0667931093972413,12025.7353515625,0.03769197800987397,26963.548828125
29,0.09207068920033143,10947.259765625,0.03859030418492466,22619.533203125
