,val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0,0.10628820913030322,14900.4228515625,0.04330082647853059,22032.0078125
1,0.08004448723374448,14892.2333984375,0.025477135899119117,17843.970703125
2,0.11289454016378295,13946.634765625,0.022747562905328467,16139.376953125
3,0.10301562384921177,11366.201171875,0.021197800568597,17144.916015625
4,0.08838134386981565,15570.66796875,0.01972750020570826,14804.4091796875
5,0.0929562371109574,12069.076171875,0.018813500016938853,18563.3125
6,0.1059854154298282,13411.0400390625,0.018265083922776443,15274.3359375
7,0.1032689283527888,12352.1640625,0.01787338606800654,14318.5283203125
8,0.0934265556459294,13662.1015625,0.017652851039520866,14652.1025390625
9,0.09577322510426223,9901.4013671875,0.017070119105869242,11744.013671875
10,0.09926192059429731,13765.6630859375,0.01696928829594789,12519.5615234375
11,0.10110708524927592,12328.458984375,0.016420825736171613,12042.736328125
12,0.09729071844302148,9796.294921875,0.016251670573649638,13107.6513671875
13,0.08162909578910348,15707.1435546875,0.015998480475952676,12305.0947265625
14,0.09330980731039219,13265.5908203125,0.015925513746094733,16697.69921875
15,0.10063680338603566,13007.7841796875,0.015604374699838445,12852.328125
16,0.08551948190133238,15924.9833984375,0.015563458925952718,13490.521484375
17,0.08850244180673925,14015.2529296875,0.015285189738954671,13114.6796875
18,0.09859132108754774,16846.978515625,0.015350221332314729,10450.650390625
19,0.08768773794312569,16071.8486328125,0.015135104966873142,11138.0595703125
20,0.09060663791396074,16613.041015625,0.014908109199271062,10868.3427734375
21,0.09176213083160664,18955.654296875,0.015139273313123126,10529.6337890625
22,0.08852651986405383,21704.533203125,0.014882809094280674,10132.5751953125
23,0.08490776229807614,15490.8701171875,0.014878854733739464,11194.498046875
24,0.0952009861094275,14915.2041015625,0.014647214683664284,10922.55078125
25,0.08942010865540817,15319.416015625,0.0146590345530981,10510.6376953125
26,0.09164159931177603,16745.232421875,0.014686613416270118,11158.57421875
27,0.09116096501338641,18651.982421875,0.01453684027912288,11021.3076171875
28,0.09270782724446636,14135.20703125,0.014449327784078004,12837.2470703125
29,0.0951176994703429,16437.70703125,0.014195989279860167,10229.6533203125
