,val_loss,val_mean_absolute_percentage_error,loss,mean_absolute_percentage_error
0,0.0942115551482365,15651.634765625,0.04321712797961048,23804.099609375
1,0.09901285844871767,14489.501953125,0.025635380390578742,18885.27734375
2,0.09346317813552817,11968.560546875,0.022862137319930073,19905.55078125
3,0.09939794577420345,14099.34375,0.0210053078248579,17742.99609375
4,0.11172040568073337,12360.365234375,0.020135695380634044,17937.337890625
5,0.11084939624359631,11812.927734375,0.019106402556110322,14710.8466796875
6,0.1162110983149229,15544.86328125,0.01840056118897191,14265.603515625
7,0.11454908952973156,10371.1650390625,0.01824782031133828,17536.80078125
8,0.10441843151388927,11945.1962890625,0.01759263982794736,17018.19921875
9,0.10788746051191937,10685.1279296875,0.017267742295696383,13925.0185546875
10,0.11154101272862246,12970.3359375,0.01684182790781312,13426.8427734375
11,0.10376913418827953,14910.75,0.016494588289376375,14192.18359375
12,0.09821141081636753,12916.8134765625,0.016191219294424474,12832.30859375
13,0.11636496868613704,11394.56640625,0.01582612393998806,12385.4521484375
14,0.12036032399602636,13645.2265625,0.015683678361425445,12367.974609375
15,0.11813089990781894,12821.8994140625,0.015532816587699541,11681.3720703125
16,0.11744411118799908,13415.8037109375,0.01531572281125826,11904.2666015625
17,0.1181914183474943,12212.0,0.015113125592056036,11496.607421875
18,0.11360940880126477,13915.4365234375,0.01496639070444877,12151.1591796875
19,0.12009823715624529,10271.03515625,0.015040688814637897,11883.861328125
20,0.12420470721141862,11536.6669921875,0.014769902003481088,10864.94140625
21,0.12659327449040295,15254.7138671875,0.01472223164826387,10860.501953125
22,0.13053562411442787,9654.6455078125,0.014488212216021559,10570.5205078125
23,0.12358981539742309,11309.2587890625,0.014476904446479548,11045.6337890625
24,0.12403295520634687,11115.900390625,0.014536192277584094,11270.6455078125
25,0.11493295056489201,13711.0146484375,0.014376626677046,10463.2158203125
26,0.13135136903992795,11408.271484375,0.014267352398455136,11386.9208984375
27,0.12178827192606237,13455.404296875,0.014150959610640187,10375.8125
28,0.12947242740656287,10819.177734375,0.014285549305762308,9837.453125
29,0.12394440604273275,10859.1220703125,0.01412623994337549,9594.1865234375
